,title,abstract
16230339,Fibrinogen substrate recognition by staphylocoagulase.(pro)thrombin complexes.,"Thrombin generation and fibrinogen (Fbg) clotting are the ultimate proteolytic reactions in the blood coagulation pathway. Staphylocoagulase (SC), a protein secreted by the human pathogen Staphylococcus aureus, activates prothrombin (ProT) without proteolysis. The SC.(pro)thrombin complex recognizes Fbg as a specific substrate, converting it directly into fibrin. The crystal structure of a fully active SC fragment containing residues 1-325 (SC-(1-325)) bound to human prethrombin 2 showed previously that SC inserts its Ile(1)-Val(2) N terminus into the Ile(16) pocket of prethrombin 2, inducing a functional active site in the cognate zymogen conformationally. Exosite I of alpha-thrombin, the Fbg recognition site, and proexosite I on ProT are blocked by domain 2 of SC-(1-325). In the present studies, active site-labeled fluorescent ProT analogs were used to quantitate Fbg binding to the SC-(1-325).ProT complex. Fbg binding and cleavage are mediated by expression of a new Fbg-binding exosite on the SC-(1-325).ProT complex, resulting in formation of an (SC-(1-325).ProT)(2).Fbg pentameric complex with a dissociation constant of 8-34 nm. In both crystal structures, the SC-(1-325).(pre)thrombin complexes form dimers, with both proteinases/zymogens facing each other over a large U-shaped cleft, through which the Fbg substrate could thread. On this basis, a molecular model of the pentameric (SC-(1-325).thrombin)(2).Fbg encounter complex was generated, which explains the coagulant properties and efficient Fbg conversion. The results provide new insight into the mechanism that mediates high affinity Fbg binding and cleavage as a substrate of SC.(pro)thrombin complexes, a process that is central to the molecular pathology of S. aureus endocarditis."
16364312,Identification of otubain 1 as a novel substrate for the Yersinia protein kinase using chemical genetics and mass spectrometry.,"Yersinia encodes a protein kinase, YpkA, which disrupts the actin cytoskeleton. Using an approach termed chemical genetics, we identified a 36-kDa substrate for YpkA in both J774 lysates and bovine brain cytosol. Mass spectrometry analysis identified this substrate as FLJ20113, an open reading frame that corresponds to otubain 1, a deubiquitinating enzyme implicated in immune cell clonal anergy. We demonstrate that otubain 1 is phosphorylated by YpkA in vitro and interacts with YpkA and actin in vivo. Identification of otubain 1 as a YpkA substrate suggests that regulation of immune cell anergy may be a survival mechanism for Yersinia."
15793585,Insights into hRPA32 C-terminal domain--mediated assembly of the simian virus 40 replisome.,"Simian virus 40 (SV40) provides a model system for the study of eukaryotic DNA replication, in which the viral protein, large T antigen (Tag), marshals human proteins to replicate the viral minichromosome. SV40 replication requires interaction of Tag with the host single-stranded DNA-binding protein, replication protein A (hRPA). The C-terminal domain of the hRPA32 subunit (RPA32C) facilitates initiation of replication, but whether it interacts with Tag is not known. Affinity chromatography and NMR revealed physical interaction between hRPA32C and the Tag origin DNA-binding domain, and a structural model of the complex was determined. Point mutations were then designed to reverse charges in the binding sites, resulting in substantially reduced binding affinity. Corresponding mutations introduced into intact hRPA impaired initiation of replication and primosome activity, implying that this interaction has a critical role in assembly and progression of the SV40 replisome."
7642611,"Characterization of physical interactions of the putative transcriptional adaptor, ADA2, with acidic activation domains and TATA-binding protein.","RNA polymerase II transcription requires functional interactions between activator proteins bound to upstream DNA sites and general factors bound to the core promoter. Accessory transcription factors, such as adaptors and coactivators, have important, but still unclear, roles in the activation process. We tested physical interactions of the putative adaptor ADA2 with activation domains derived from acidic activator proteins and with certain general transcription factors. ADA2 associated with the herpesvirus VP16 and yeast GCN4 activation domains but not with the activation domain of yeast HAP4, which previously was shown to be independent of ADA2 function in vivo and in vitro. Furthermore, the amino terminus of ADA2 directly interacted with the VP16 activation domain, suggesting that ADA2 provides determinants for interaction between activation domains and the adaptor complex. Both TATA-binding protein (TBP) and TFIIB have previously been shown to interact directly with the VP16 activation domain in vitro (Stringer, K. F., Ingles, C. J., and Greenblatt, J. (1990) Nature 345, 783-786; Lin, Y. S., Ha, I., Maldonado, E., Reinberg, D., and Green, M. R. (1991) Nature 353, 569-571). Interestingly, when binding was tested between VP16 and these general factors in yeast nuclear extracts, both factors interacted with VP16, but only the TBP/VP16 association was dependent on ADA2. In addition, ADA2 physically associated with TBP, but not with TFIIB. These results suggest that the role of ADA2 in transcriptional activation is to promote physical interaction between activation domains and TBP."
15109495,Interaction of the bovine papillomavirus E2 protein with Brd4 tethers the viral DNA to host mitotic chromosomes.,"The papillomavirus E2 protein tethers viral genomes to host mitotic chromosomes to ensure genome maintenance. We have identified the bromodomain protein Brd4 as a major cellular interacting partner of the bovine papillomavirus E2. Brd4 associates with mitotic chromosomes and colocalizes with E2 on mitotic chromosomes. The site of E2 binding maps to the C-terminal domain of Brd4. Expression of this C-terminal Brd4 domain functions in a dominant-negative manner to abrogate the colocalization of E2 with Brd4 on mitotic chromosomes, to block association of the viral episomes with Brd4, and to inhibit BPV-1 DNA-mediated cellular transformation. Brd4 also associates with HPV16 E2, indicating that Brd4 binding may be a shared property of all papillomavirus E2 proteins. The interaction of E2 with Brd4 is required to ensure the tethering of viral genomes to the host mitotic chromosomes for persistence of viral episomes in PV-infected cells."
16061792,"Association of the human papillomavirus type 16 E7 oncoprotein with the 600-kDa retinoblastoma protein-associated factor, p600.","The human papillomavirus type 16 (HPV-16) E7 gene encodes a multifunctional oncoprotein that can subvert multiple cellular regulatory pathways. The best-known cellular targets of the HPV-16 E7 oncoprotein are the retinoblastoma tumor suppressor protein pRB and the related pocket proteins p107 and p130. However, there is ample evidence that E7 has additional cellular targets that contribute to its transforming potential. We isolated HPV-16 E7 associated cellular protein complexes by tandem affinity purification and mass spectrometry and identified the 600-kDa retinoblastoma protein associated factor, p600, as a cellular target of E7. Association of E7 with p600 is independent of the pocket proteins and is mediated through the N terminal E7 domain, which is related to conserved region 1 of the adenovirus E1A protein and importantly contributes to cellular transformation independent of pRB binding. Depletion of p600 protein levels by RNA interference substantially decreased anchorage-independent growth in HPV-positive and -negative human cancer cells. Therefore, p600 is a cellular target of E7 that regulates cellular pathways that contribute to anchorage-independent growth and cellular transformation."
9499053,Association of the human papillomavirus type 11 E1 protein with histone H1.,"The E1 and E2 proteins are the only virus-encoded factors required for human papillomavirus (HPV) DNA replication. The E1 protein is a DNA helicase responsible for initiation of DNA replication at the viral origin. Its recruitment to the origin is facilitated by binding to E2, for which specific recognition elements are located at the origin. The remaining replication functions for the virus, provided by the host cell's replication machinery, may be mediated by further interactions with E1 and E2. Histone H1 was identified as an HPV type 11 (HPV-11) E1-binding protein by far-Western blotting and by microsequence analyses of a 34-kDa protein purified by E1 affinity chromatography. E1 also bound in vitro to H1 isolated under native conditions in association with intact nucleosomes. In addition, E1 and H1 were coimmunoprecipitated by an E1 antiserum from a nuclear extract prepared from cells expressing recombinant E1. Bound H1 was displaced from HPV-11 DNA by the addition of E1, suggesting that E1 can promote replication initiation and elongation by alteration of viral chromatin structure and disruption of nucleosomes at the replication fork. Furthermore, a region of the HPV-11 genome containing the origin of replication was identified which had weaker affinity for H1 than that of the remaining genome. This result suggests that the presence of a DNA structure at or near the HPV origin facilitates initiation of DNA replication by exclusion of H1. These results are similar to those of studies of simian virus 40 DNA replication, in which a large T antigen-H1 interaction and an H1-resistant region at the origin of DNA replication have also been demonstrated."
16044149,Activation of the protein kinase B pathway by the HPV-16 E7 oncoprotein occurs through a mechanism involving interaction with PP2A.,"Protein kinase B (PKB) or Akt is one of several second messenger kinases that are activated by cell attachment and growth factor signaling, and that transmit signals to the cell nucleus to inhibit apoptosis and thereby increase cell survival during proliferation. Other viral proteins target this pathway by increasing PKB/Akt phosphorylation, and this pathway has been implicated in the transformation of human keratinocytes by HPV E6 and E7, together with activated notch 1. Here, we examine how HPV E7 expression affects the phosphorylation of PKB. We show that HPV-16 E7 increases the level of phosphorylation of PKB in response to serum stimulation, by a mechanism independent of downregulation of PTEN phosphatase, a known inhibitor of the PI3K (PI3 kinase) pathway. The use of specific antibodies shows that some proportion of PKB/Akt that is phosphorylated both on threonine 308 and serine 473 is maintained in the presence of E7 in a PI3 kinase-independent manner, and is activated for phosphorylation of BAD, a known downstream target of PKB/Akt. Use of E7 mutants has ruled out both an inhibition of IGFBP-3, a known E7 target and PKB/Akt modulator, and the interaction of E7 with cellular pocket proteins, as being the mechanism for the PKB/Akt stimulation. PKB binds PP2A and is a known substrate of PP2A. Here, we show that HPV E7 also binds to both the 35 kDa catalytic and 65 kDa structural subunits of PP2A, an interaction that sequesters these subunits and inhibits their interaction with PKB, thereby maintaining PKB/Akt signaling by inhibiting its dephosphorylation."
12783858,Protein profiling with Epstein-Barr nuclear antigen-1 reveals an interaction with the herpesvirus-associated ubiquitin-specific protease HAUSP/USP7.,"The Epstein-Barr nuclear antigen-1 (EBNA1) protein of Epstein-Barr virus is important for the replication, segregation, and transcriptional activation of latent Epstein-Barr virus genomes; has been implicated in host cell immortalization; and avoids proteasomal processing and cell-surface presentation. To gain insight into how EBNA1 fulfills these functions, we have profiled cellular protein interactions with EBNA1 using EBNA1 affinity chromatography and tandem affinity purification (TAP) of EBNA1 complexes from human cells (TAP-tagging). We discovered several new specific cellular protein interactions with EBNA1, including interactions with HAUSP/USP7, NAP1, template-activating factor-I beta/SET, CK2, and PRMT5, all of which play important cell regulatory roles. The ubiquitin-specific protease USP7 is a known target of herpes simplex virus, and the USP7-binding region of EBNA1 was mapped to amino acids 395-450. A mutation in EBNA1 that selectively disrupted binding to USP7 was found to cause a 4-fold increase in EBNA1 replication activity but had no effect on EBNA1 turnover and cell-surface presentation. The results suggest that USP7 can regulate the replication function of EBNA1 and that EBNA1 may influence cellular events by sequestering key regulatory proteins."
9824158,The BCL-6 POZ domain and other POZ domains interact with the co-repressors N-CoR and SMRT.,"Virtually all diffuse large cell lymphomas and a significant fraction of follicular lymphomas contain translocations and/or point mutations in the 5' non-coding region of the putative oncogene BCL-6, that are presumed to deregulate its expression. BCL-6 encodes a Cys2-His2 zinc finger transcriptional repressor with a POZ domain at its amino-terminus. The POZ (or BTB) domain, a 120-amino-acid motif, mediates homomeric and, in some proteins, heteromeric POZ-POZ interactions. In addition, the POZ domain is required for transcriptional repression of several proteins, including BCL-6. Using a yeast two-hybrid screen, we identified N-CoR and SMRT as BCL-6 interacting proteins. Both N-CoR and SMRT, which were originally identified as co-repressors for the unliganded nuclear thyroid hormone and retinoic acid receptors, are components of large complexes containing histone deacetylases. We show that the interaction between BCL-6 and these co-repressors is also detected in the more physiologically relevant mammalian two-hybrid assay. The POZ domain is necessary and sufficient for interaction with these co-repressors. BCL-6 and N-CoR co-localize to punctate regions of the nucleus. Furthermore, when BCL-6 is bound to its consensus recognition sequence in vivo, it can interact with N-CoR and SMRT. We find, in vitro, that POZ domains from a variety of other POZ domain-containing proteins, including the transcriptional repressor PLZF, as well as ZID, GAGA and a vaccinia virus protein, SalF17R, also interact with varying affinities with N-CoR and SMRT. We find that BCL-6 POZ domain mutations that disrupt the interaction with N-CoR and SMRT no longer repress transcription. In addition, these mutations no longer self associate suggesting that self interaction is required for interaction with the co-repressors and for repression. More recently N-CoR has also been implicated in transcriptional repression by the Mad/Mxi proteins. Our demonstration that N-CoR and SMRT interact with the POZ domain containing proteins indicates that these co-repressors are likely involved in the mediation of repression by multiple classes of repressors and may explain, in part, how POZ domain containing repressors mediate transcriptional repression."
